"parallel_domain","Pressure","Velocity:0","Velocity:1","Velocity:2","TurbEner","Dissip","TurbVisc","total_pressure","Points:0","Points:1","Points:2"
2,2.19176,-0.0600725,0.171157,-7.19602,0.412095,120.744,0.000154244,101327,0.05,-0.0359664,-0.06
2,2.17292,-0.0543651,0.161133,-7.17723,0.408398,116.827,0.000159956,101327,0.05,-0.0344796,-0.06
2,1.91531,-0.104682,0.167698,-7.75167,0.318271,81.4641,0.000138388,101327,0.0435902,-0.0368695,-0.06
2,1.39858,-0.110633,0.120374,-7.70323,0.268749,61.3553,0.000128804,101326,0.0329641,-0.0406395,-0.06
2,1.58616,-0.191563,0.0864101,-7.77207,0.378445,94.4894,0.00016098,101327,0.0371649,-0.0464833,-0.06
2,1.73711,-0.138962,0.158917,-8.00844,0.283107,66.7412,0.000130456,101327,0.0401587,-0.0385454,-0.06
3,1.56008,-0.11095,0.0572992,-5.74251,0.341932,99.9166,0.000165563,101327,-0.0292551,0.0125353,-0.06
3,1.60456,-0.0708366,0.0212385,-5.97073,0.332027,102.959,0.000120723,101327,-0.0316108,0.0128181,-0.06
2.82517,1.64179,-0.0804782,0.0318184,-5.87798,0.329145,103.103,0.000118469,101327,-0.031128,0.0106904,-0.06
3,1.99616,0.0511748,-0.147802,-7.34226,0.220477,55.4154,0.000100484,101327,-0.0390562,0.0223349,-0.06
3,2.07242,0.0522536,-0.137559,-7.31377,0.221012,56.351,9.88646e-05,101327,-0.0395008,0.0217746,-0.06
3,2.03171,0.0536402,-0.140832,-7.29805,0.216869,55.2975,9.6327e-05,101327,-0.0389158,0.0217213,-0.06
2,1.99959,-0.153842,0.106992,-7.70234,0.374581,107.147,0.000131708,101327,0.0409558,-0.0449674,-0.06
2,1.85885,-0.12243,0.150218,-7.94177,0.285266,71.7263,0.000124605,101327,0.0417951,-0.0384236,-0.06
2,1.73892,-0.118645,0.156799,-7.99475,0.27955,68.1899,0.000125319,101327,0.0409642,-0.0383925,-0.06
2,2.03856,-0.0677725,0.0916728,-7.60685,0.370057,118.205,0.000109646,101327,0.0445326,-0.0450683,-0.06
2,2.43946,-0.0905859,0.0778702,-7.47276,0.376327,123.092,0.000109601,101327,0.0470589,-0.044061,-0.06
2,1.19701,-0.174722,0.0324671,-7.18929,0.418871,109.459,0.000173569,101326,0.0326729,-0.05,-0.06
2,1.14928,-0.119173,0.0698996,-7.2736,0.328938,81.656,0.000147021,101326,0.0306268,-0.0448936,-0.06
2,1.22151,-0.159676,0.0470227,-7.09219,0.404961,106.101,0.000169447,101326,0.0297612,-0.05,-0.06
2,1.92058,0.038291,-0.0507222,-6.75154,0.405342,147.818,9.74341e-05,101327,0.05,-0.0480572,-0.06
2,1.65409,0.0640518,-0.0571672,-6.74524,0.405134,147.88,9.61601e-05,101327,0.0489831,-0.049014,-0.06
2,1.69499,0.0961765,-0.091373,-6.56423,0.414385,155.131,9.33973e-05,101327,0.05,-0.05,-0.06
3,2.15219,0.0608426,-0.20336,-7.88112,0.258913,51.4592,0.000154148,101327,-0.0416485,0.0319715,-0.06
3,2.10279,0.0515018,-0.19016,-7.89109,0.237948,46.1834,0.000144536,101327,-0.0405621,0.0311398,-0.06
3,2.14103,0.054985,-0.188471,-7.91649,0.233238,44.7241,0.000142884,101327,-0.0397216,0.0316039,-0.06
3,2.03492,0.115916,0.00331556,-7.41608,0.21681,54.0943,0.000103851,101327,-0.0265767,0.0438518,-0.06
3,2.06558,0.105355,-0.013252,-7.33884,0.180474,45.3448,8.72183e-05,101327,-0.0238556,0.0419124,-0.06
3,2.68375,0.142953,0.0519493,-6.94567,0.321348,84.0587,0.000150683,101328,-0.0235344,0.05,-0.06
3,2.312,0.146164,0.0538878,-7.30211,0.32666,82.9494,0.000153622,101327,-0.0293492,0.05,-0.06
1.1328,1.42582,-0.0572354,-0.152436,-5.87781,0.675586,212.622,0.000206981,101326,-0.0139328,-0.030655,-0.06
1.30115,1.48565,-0.0632659,-0.13685,-5.7183,0.504156,149.697,0.000170253,101326,-0.0110433,-0.0311023,-0.06
1.17278,1.35368,-0.106189,-0.21453,-5.54713,0.586388,182.519,0.000194333,101326,-0.0123355,-0.0296088,-0.06
