"parallel_domain","Pressure","Velocity:0","Velocity:1","Velocity:2","TurbEner","Dissip","TurbVisc","total_pressure","Points:0","Points:1","Points:2"
1.64171,5.81997e+16,-1.79477e+06,4.88374e+06,-3.02517e+07,4.43532e+14,2.14027e+19,1.73674e+06,5.81997e+16,-0.0412273,0.00409646,-0.06
1.6453,5.73602e+16,-1.85354e+06,5.06411e+06,-3.30998e+07,4.14605e+14,2.25332e+19,1.49216e+06,5.73602e+16,-0.042368,0.00426401,-0.06
1.55296,5.56512e+16,-2.95293e+06,8.22958e+06,-5.37795e+07,3.99114e+14,2.00235e+19,1.34839e+06,5.56512e+16,-0.042281,0.00309182,-0.06
4,-8.381e+16,2.61453e+08,8.15378e+07,2.6206e+08,3.20457e+15,4.82076e+21,5.12146e+06,-8.381e+16,0.0132523,0.0338643,-0.06
3.17083,-4.22629e+17,3.39094e+07,-9.02857e+06,2.3257e+07,2.88555e+15,4.14571e+20,8.42447e+07,-4.22629e+17,0.00572036,0.038812,-0.06
3.86576,-3.84647e+16,2.46671e+08,8.1558e+07,2.64717e+08,3.70947e+15,4.3667e+21,4.85321e+06,-3.84647e+16,0.0115661,0.0324366,-0.06
2,1.91214e+17,2.26067e+07,4.18424e+07,-1.73846e+09,4.09585e+12,5.86539e+18,5592.38,1.91214e+17,-0.0435497,0.0487989,-0.06
2,1.86338e+17,9.2806e+08,5.60753e+08,-6.11867e+08,9.00606e+12,2.80961e+19,220.068,1.86338e+17,-0.0455217,0.0450867,-0.06
2,1.9634e+17,-2.71955e+07,5.80171e+07,-1.40177e+09,3.12383e+13,4.60585e+18,37524.6,1.9634e+17,-0.0407805,0.0417536,-0.06
2,1.96305e+17,4.52819e+07,1.02823e+08,-1.28245e+09,3.36356e+13,6.38263e+18,39407.7,1.96305e+17,-0.0407439,0.0409264,-0.06
2,2.07967e+17,-5.23736e+07,3.46249e+07,-1.21364e+09,6.37915e+13,9.20686e+18,70272.2,2.07967e+17,-0.0382893,0.0407005,-0.06
2,2.452e+17,-1.22865e+08,-5.95834e+07,-6.17613e+08,2.00512e+14,2.89521e+19,296962,2.452e+17,-0.0299606,0.0394601,-0.06
2,2.46227e+17,-1.21427e+08,-7.06242e+07,-6.51177e+08,1.72568e+14,2.81748e+19,176984,2.46227e+17,-0.0290775,0.0402546,-0.06
1,6.44265e+16,-4.77516e+07,1.13607e+08,-4.96348e+08,7.9865e+13,7.64517e+19,154.115,6.44265e+16,-0.0302281,-0.0311057,-0.06
