"parallel_domain","Pressure","Velocity:0","Velocity:1","Velocity:2","TurbEner","Dissip","TurbVisc","total_pressure","Points:0","Points:1","Points:2"
1.97686,-8.28386,-0.526215,0.472176,-6.11748,0.153629,99.1097,3.24909e-05,101317,-0.00365323,0.040021,-0.06
2,-7.81626,-0.628205,0.460184,-6.10298,0.144887,85.2062,3.15537e-05,101317,-0.00425279,0.0395622,-0.06
1.99186,-7.77972,-0.604346,0.470274,-6.13724,0.142694,83.6682,3.11563e-05,101317,-0.00410978,0.0393734,-0.06
2,4.80882,0.533848,-0.307184,-5.26205,0.0552151,10.9734,2.31046e-05,101330,-0.0262475,-0.0156139,-0.06
2,5.0101,0.529652,-0.253013,-5.25332,0.0495591,8.50221,2.33525e-05,101330,-0.0255852,-0.0149462,-0.06
2,5.28429,0.535402,-0.222255,-5.15091,0.0552688,10.6042,2.42926e-05,101330,-0.0267121,-0.0146327,-0.06
1.91992,-8.7332,-0.567935,-0.506678,-6.94011,0.130447,45.6089,4.63885e-05,101316,-0.00280863,-0.0338192,-0.06
1.58241,-5.96874,-0.650848,-0.257904,-7.07987,0.0568396,11.7288,2.57733e-05,101319,0.0032848,-0.0290637,-0.06
2,-5.23512,-0.587921,-0.418888,-7.13501,0.0607884,10.6707,3.6763e-05,101320,-0.00341655,-0.0279373,-0.06
1,3.29187,-2.75441,1.08705,-4.83729,0.26973,85.8204,0.000123143,101328,0.0191111,-0.00881392,-0.06
1,-2.85337,-0.797421,0.130106,-5.77316,0.132856,31.5468,6.57122e-05,101322,0.0220473,-0.0186194,-0.06
1,-3.16181,-0.0276717,-0.166123,-5.78318,0.189911,59.0268,5.88897e-05,101322,0.024896,-0.0167563,-0.06
1,-1.31324,0.11687,-0.149268,-5.4613,0.300884,108.332,7.18635e-05,101324,0.0269623,-0.011235,-0.06
2,-4.86563,0.428848,-1.80125,-6.61438,0.0873042,20.8704,3.45032e-05,101320,-0.0235525,-0.0279438,-0.06
2,-5.09714,0.436022,-1.87205,-6.61728,0.095645,24.5462,3.40395e-05,101320,-0.0245787,-0.0288631,-0.06
1,-4.33602,0.0118875,-0.643881,-6.08996,0.191687,67.3073,7.1771e-05,101321,0.0295789,-0.0232214,-0.06
1,-2.90877,-0.553112,-0.0783754,-5.94649,0.111256,20.6879,6.74805e-05,101322,0.0219389,-0.0193001,-0.06
1,-15.1707,-0.184207,-0.246879,-6.45036,1.70795,1189.21,0.000358956,101310,0.0245348,-0.0290991,-0.06
1,-20.3587,0.0544031,-0.404466,-6.67695,2.36684,1669.48,0.000477594,101305,0.0267931,-0.0336846,-0.06
1,-14.0879,-3.60936,2.96563,-2.91601,0.282047,145.974,4.88068e-05,101311,0.0385845,-0.00679243,-0.06
1,-17.5028,-3.25455,2.6559,-2.75851,0.261301,141.662,4.97336e-05,101308,0.0403688,-0.00766925,-0.06
1,-17.4109,-3.29344,2.67803,-2.77941,0.259857,141.072,4.97226e-05,101308,0.0403518,-0.00759739,-0.06
1,-2.89254,-0.592297,1.12192,-6.95769,0.0902215,5.57319,0.000106009,101322,0.0108821,0.0193601,-0.06
1,-7.83262,0.0268114,1.27546,-7.42475,0.0943301,25.3496,4.41145e-05,101317,0.0127045,0.0296221,-0.06
1.11792,-2.83825,-0.565427,1.03871,-6.9562,0.0919961,5.54273,0.000109407,101322,0.00850738,0.019927,-0.06
2,-51.3381,-0.770038,-1.54427,-9.58491,1.70782,1675.65,0.000187145,101274,-0.0417034,-0.0419827,-0.06
2,-55.4896,-0.593068,0.118042,-7.7998,1.48717,1608.68,0.000119183,101270,-0.0485201,-0.0438791,-0.06
2,-65.2977,-1.43997,-1.05878,-10.1254,2.03434,2334.92,0.000179939,101260,-0.0447663,-0.0448894,-0.06
2,-69.1035,-2.05062,1.31004,-9.01413,2.04139,2928.27,0.000149507,101256,-0.0487066,-0.0486969,-0.06
2,-52.8386,-0.267024,0.470605,-7.1008,1.4238,1498.86,0.000108741,101272,-0.05,-0.0444236,-0.06
2,-69.216,-2.02669,1.81804,-8.63008,2.08392,3064.54,0.000145892,101256,-0.05,-0.05,-0.06
2,-3.03708,-0.20149,1.08113,-6.88788,0.081899,8.58731,7.44444e-05,101322,-0.0214506,0.0145148,-0.06
2,-2.60089,-0.223415,0.836564,-6.94857,0.0964369,5.14083,0.00014438,101322,-0.0121371,0.0122878,-0.06
2,-4.04681,-0.249891,0.916566,-7.10826,0.0808006,6.22977,8.1703e-05,101321,-0.0165311,0.0163043,-0.06
2,5.17354,0.537561,-0.204879,-5.23075,0.0501435,8.84853,2.30576e-05,101330,-0.0261057,-0.014025,-0.06
2,1.27269,0.561955,0.586497,-6.52396,0.065727,6.88234,5.19415e-05,101326,-0.0216184,-0.0039003,-0.06
2,4.27254,0.316206,1.40786,-5.32868,0.0658481,13.4183,3.08357e-05,101329,-0.0297161,-0.00267339,-0.06
1,-15.1069,0.117951,1.47324,-7.88473,0.558113,283.177,0.000127296,101310,0.023673,0.0357087,-0.06
1,-19.2492,0.257816,1.4254,-8.16863,0.76909,402.021,0.000166327,101306,0.0247524,0.0392222,-0.06
1,-20.9282,0.124196,1.35116,-8.37037,0.836951,499.846,0.000171727,101304,0.0240075,0.0399734,-0.06
1,-21.4082,0.93077,-2.38026,-7.06764,1.54653,1466.5,0.000305492,101304,0.0391728,-0.0277262,-0.06
1,-22.1667,0.210807,-2.5378,-5.68401,0.792858,531.749,0.000152068,101303,0.0483148,-0.0243703,-0.06
1,-12.5899,1.07196,-0.495382,-4.90995,0.390233,205.131,8.62134e-05,101312,0.0406279,-0.0178381,-0.06
1,-5.53326,-0.24908,1.48053,-7.10246,0.103699,17.5949,7.99549e-05,101319,0.0169062,0.024593,-0.06
1,-7.56282,0.00968201,1.66804,-7.22257,0.107211,26.2635,4.65055e-05,101317,0.0220452,0.0288139,-0.06
1,-8.39651,0.0971845,1.29077,-7.47453,0.0941297,27.576,3.5002e-05,101317,0.0132491,0.0308167,-0.06
1,-8.45907,0.0982306,1.2888,-7.48423,0.0936176,27.3353,3.55926e-05,101317,0.0128062,0.0309201,-0.06
2,-4.57606,0.974396,-1.58706,-4.66067,0.36811,111.976,9.5654e-05,101320,-0.0402259,-0.0283511,-0.06
2,4.5942,0.565679,-0.696422,-3.75092,0.246026,63.263,9.07568e-05,101330,-0.0386559,-0.0203049,-0.06
2,5.47738,0.421437,-0.382042,-3.20942,0.252641,67.5068,8.73448e-05,101330,-0.0403544,-0.0200358,-0.06
2,-3.06992,0.847337,-1.31015,-4.25188,0.358557,109.082,9.31695e-05,101322,-0.041025,-0.0273186,-0.06
1,-9.02067,0.80365,-0.515615,-5.18834,0.273521,129.202,6.89479e-05,101316,0.03698,-0.0190976,-0.06
1,-3.96458,0.711319,-0.471808,-5.67693,0.29893,115.034,5.2041e-05,101321,0.0307804,-0.0157539,-0.06
1,-3.63521,0.284737,-0.602797,-5.70537,0.20211,73.1778,6.68108e-05,101321,0.0305867,-0.0223795,-0.06
2,-5.55867,0.42033,-1.88631,-6.64113,0.115301,35.6218,3.81999e-05,101319,-0.0239869,-0.0296281,-0.06
2,-5.42553,0.387365,-1.83979,-6.65944,0.0857917,21.0794,3.16843e-05,101320,-0.0227694,-0.0290307,-0.06
2,-86.962,-2.14162,0.897236,-11.5409,0.659932,1261.04,5.1778e-05,101238,-0.05,0.0475783,-0.06
2,-76.3738,-2.0477,1.90645,-10.8242,0.715464,1068.81,7.16038e-05,101249,-0.0458406,0.0456181,-0.06
2,-84.934,-2.53163,1.04635,-11.8052,0.577596,1188.87,4.27586e-05,101240,-0.05,0.05,-0.06
2,-9.19325,-0.874781,1.33292,-7.56954,0.0784174,16.5685,3.51748e-05,101316,-0.0271489,0.0236532,-0.06
2,-7.90502,-0.81757,1.30257,-7.48868,0.0749603,13.7639,3.54586e-05,101317,-0.0265419,0.0224445,-0.06
2,-9.25636,-0.92428,1.12567,-7.59087,0.0756686,15.5411,3.47605e-05,101316,-0.0240767,0.026568,-0.06
1,-22.6332,0.0288314,-0.365285,-6.76436,2.69001,1916.84,0.000537748,101302,0.0260487,-0.0354066,-0.06
1,-22.8288,0.0326484,-0.345062,-6.74976,2.77536,1986.73,0.000555964,101302,0.0261071,-0.0359168,-0.06
1,-22.5501,0.0248602,-0.348723,-6.77471,2.65906,1882.4,0.000533476,101302,0.0262811,-0.0352146,-0.06
1,-35.7366,0.689985,2.95293,-8.28263,1.29423,797.27,0.000223191,101289,0.040216,0.0415276,-0.06
1,-26.1893,0.318356,3.9189,-5.70556,0.538385,290.306,0.000101401,101299,0.0496461,0.0343941,-0.06
1,-31.0688,0.306399,4.00375,-5.99177,0.620656,377.078,0.00010903,101294,0.05,0.0353688,-0.06
1,-33.4749,0.70958,2.87332,-8.22172,1.27725,769.045,0.000223456,101292,0.0396919,0.0412617,-0.06
1.05484,-25.2938,0.361135,1.3176,-8.60584,0.94299,1055.17,0.00016543,101300,0.0213778,0.0409467,-0.06
1,-23.7997,0.00677253,1.2146,-8.48024,0.97364,572.832,0.000189603,101301,0.025113,0.0413024,-0.06
1.06969,-9.13647,0.146116,1.27047,-7.44243,0.109865,38.0703,3.63999e-05,101316,0.0119128,0.0323341,-0.06
1.41427,-11.7959,0.35543,1.14788,-7.18266,0.176213,82.0772,4.38184e-05,101313,0.00683241,0.0382107,-0.06
1.52209,-7.36502,-0.0394338,1.01975,-7.24513,0.0741661,19.9029,3.68731e-05,101318,0.00172852,0.0309129,-0.06
1.04036,-8.37657,0.0816311,1.27181,-7.47912,0.0917677,26.6256,3.4829e-05,101317,0.011989,0.0309077,-0.06
1,-17.2873,0.501669,2.88201,-7.56735,0.296323,106.256,8.25259e-05,101308,0.0365199,0.0320056,-0.06
1,-7.98463,0.115081,1.77715,-7.185,0.139064,39.8521,5.45272e-05,101317,0.0249112,0.028663,-0.06
1,-8.37467,0.338687,2.06947,-6.7239,0.193228,59.3517,7.05083e-05,101317,0.0316303,0.0269356,-0.06
2,-30.4336,-1.13061,2.24396,-8.41124,1.42448,1290.88,0.000252966,101295,-0.0427086,0.0268645,-0.06
2,-28.4337,-1.2133,2.35439,-8.00702,1.20624,1055.58,0.00022174,101297,-0.0445822,0.0232105,-0.06
2,-30.2689,-1.22265,2.12331,-8.55913,1.34869,1247.28,0.000230454,101295,-0.0406642,0.0264485,-0.06
1.27472,-5.50707,-0.704112,-0.27848,-6.90528,0.0717128,16.1183,3.23483e-05,101319,0.0092547,-0.0281289,-0.06
1.36822,-6.01594,-0.687948,-0.171417,-7.02744,0.0579044,11.8965,2.63823e-05,101319,0.00685691,-0.0285867,-0.06
1.39801,-6.32074,-0.687851,-0.188306,-6.95518,0.0620544,13.416,2.79009e-05,101319,0.00641147,-0.0293407,-0.06
2,5.65464,0.460505,-0.0700029,-5.14118,0.0547514,10.5967,2.36175e-05,101331,-0.0271311,-0.0136553,-0.06
1.77168,-18.9125,0.803145,0.402012,-5.6623,0.275606,314.417,4.34864e-05,101306,0.00337877,0.0483129,-0.06
1.45517,-24.8836,0.747424,0.930269,-7.31793,0.642479,1181.88,8.26031e-05,101300,0.00807217,0.0472518,-0.06
